date,market,rainfall
2020-04-25,Mukono,0.3
2020-04-26,Mukono,4.3
2020-04-27,Mukono,5.9
2020-04-28,Mukono,11.8
2020-04-29,Mukono,7.3
2020-04-30,Mukono,8.0
2020-05-01,Mukono,7.0
2020-05-02,Mukono,19.7
2020-05-03,Mukono,5.9
2020-05-04,Mukono,5.6
2020-05-05,Mukono,4.8
2020-05-06,Mukono,2.0
2020-05-07,Mukono,8.7
2020-05-08,Mukono,6.6
2020-05-09,Mukono,3.1
2020-05-10,Mukono,26.3
2020-05-11,Mukono,5.3
2020-05-12,Mukono,6.0
2020-05-13,Mukono,0.5
2020-05-14,Mukono,2.3
2020-05-15,Mukono,1.7
2020-05-16,Mukono,10.9
2020-05-17,Mukono,8.0
2020-05-18,Mukono,5.0
2020-05-19,Mukono,2.7
2020-05-20,Mukono,4.9
2020-05-21,Mukono,3.3
2020-05-22,Mukono,2.7
2020-05-23,Mukono,0.3
2020-05-24,Mukono,0.2
2020-05-25,Mukono,1.0
2020-05-26,Mukono,0.3
2020-05-27,Mukono,0.1
2020-05-28,Mukono,0.5
2020-05-29,Mukono,3.5
2020-05-30,Mukono,2.4
2020-05-31,Mukono,0.1
2020-06-01,Mukono,0.2
2020-06-02,Mukono,4.4
2020-06-03,Mukono,8.4
2020-06-04,Mukono,5.2
2020-06-05,Mukono,1.8
2020-06-06,Mukono,2.5
2020-06-07,Mukono,2.0
2020-06-08,Mukono,1.4
2020-06-09,Mukono,2.2
2020-06-10,Mukono,6.2
2020-06-11,Mukono,4.7
2020-06-12,Mukono,3.8
2020-06-13,Mukono,6.1
2020-06-14,Mukono,5.3
2020-06-15,Mukono,0.6
2020-06-16,Mukono,0.6
2020-06-17,Mukono,0.0
2020-06-18,Mukono,0.1
2020-06-19,Mukono,2.2
2020-06-20,Mukono,20.1
2020-06-21,Mukono,1.2
2020-06-22,Mukono,1.7
2020-06-23,Mukono,0.7
2020-06-24,Mukono,4.8
2020-06-25,Mukono,5.0
2020-06-26,Mukono,0.2
2020-06-27,Mukono,4.1
2020-06-28,Mukono,4.1
2020-06-29,Mukono,1.3
2020-06-30,Mukono,0.2
2020-07-01,Mukono,1.1
2020-01-01,Bwaise,1.3
2020-01-02,Bwaise,0.1
2020-01-03,Bwaise,0.3
2020-01-04,Bwaise,0.3
2020-01-05,Bwaise,0.2
2020-01-06,Bwaise,2.1
2020-01-07,Bwaise,0.5
2020-01-08,Bwaise,9.0
2020-01-09,Bwaise,0.7
2020-01-10,Bwaise,1.1
2020-01-11,Bwaise,0.6
2020-01-12,Bwaise,3.5
2020-01-13,Bwaise,8.2
2020-01-14,Bwaise,0.0
2020-01-15,Bwaise,0.1
2020-01-16,Bwaise,2.7
2020-01-17,Bwaise,6.0
2020-01-18,Bwaise,2.0
2020-01-19,Bwaise,0.0
2020-01-20,Bwaise,0.0
2020-01-21,Bwaise,0.0
2020-01-22,Bwaise,0.0
2020-01-23,Bwaise,0.0
2020-01-24,Bwaise,0.0
2020-01-25,Bwaise,0.0
2020-01-26,Bwaise,6.8
2020-01-27,Bwaise,6.8
2020-01-28,Bwaise,15.9
2020-01-29,Bwaise,6.0
2020-01-30,Bwaise,14.9
2020-01-31,Bwaise,14.1
2020-02-01,Bwaise,1.1
2020-02-02,Bwaise,0.0
2020-02-03,Bwaise,1.7
2020-02-04,Bwaise,18.1
2020-02-05,Bwaise,6.9
2020-02-06,Bwaise,5.4
2020-02-07,Bwaise,0.2
2020-02-08,Bwaise,0.1
2020-02-09,Bwaise,0.0
2020-02-10,Bwaise,0.0
2020-02-11,Bwaise,0.0
2020-02-12,Bwaise,0.0
2020-02-13,Bwaise,0.0
2020-02-14,Bwaise,0.6
2020-02-15,Bwaise,9.0
2020-02-16,Bwaise,3.2
2020-02-17,Bwaise,0.0
2020-02-18,Bwaise,2.6
2020-02-19,Bwaise,0.6
2020-02-20,Bwaise,7.1
2020-02-21,Bwaise,0.5
2020-02-22,Bwaise,3.1
2020-02-23,Bwaise,0.6
2020-02-24,Bwaise,0.8
2020-02-25,Bwaise,4.6
2020-02-26,Bwaise,2.9
2020-02-27,Bwaise,4.6
2020-02-28,Bwaise,9.9
2020-02-29,Bwaise,5.8
2020-03-01,Bwaise,0.6
2020-03-02,Bwaise,3.0
2020-03-03,Bwaise,8.5
2020-03-04,Bwaise,16.5
2020-03-05,Bwaise,1.7
2020-03-06,Bwaise,1.9
2020-03-07,Bwaise,2.1
2020-03-08,Bwaise,2.5
2020-03-09,Bwaise,13.3
2020-03-10,Bwaise,7.5
2020-03-11,Bwaise,11.3
2020-03-12,Bwaise,3.9
2020-03-13,Bwaise,12.3
2020-03-14,Bwaise,1.8
2020-03-15,Bwaise,2.5
2020-03-16,Bwaise,12.8
2020-03-17,Bwaise,3.1
2020-03-18,Bwaise,9.9
2020-03-19,Bwaise,4.8
2020-03-20,Bwaise,1.2
2020-03-21,Bwaise,9.0
2020-03-22,Bwaise,14.9
2020-03-23,Bwaise,6.2
2020-03-24,Bwaise,4.0
2020-03-25,Bwaise,3.9
2020-03-26,Bwaise,3.6
2020-03-27,Bwaise,15.8
2020-03-28,Bwaise,18.6
2020-03-29,Bwaise,4.5
2020-03-30,Bwaise,0.4
2020-03-31,Bwaise,0.9
2020-04-01,Bwaise,0.8
2020-04-02,Bwaise,1.4
2020-04-03,Bwaise,1.4
2020-04-04,Bwaise,4.3
2020-04-05,Bwaise,2.9
2020-04-06,Bwaise,1.8
2020-04-07,Bwaise,1.1
2020-04-08,Bwaise,0.3
2020-04-09,Bwaise,1.2
2020-04-10,Bwaise,8.0
2020-04-11,Bwaise,1.9
2020-04-12,Bwaise,17.0
2020-04-13,Bwaise,16.2
2020-04-14,Bwaise,22.0
2020-04-15,Bwaise,2.7
2020-04-16,Bwaise,1.7
2020-04-17,Bwaise,13.1
2020-04-18,Bwaise,8.1
2020-04-19,Bwaise,10.2
2020-04-20,Bwaise,14.3
2020-04-21,Bwaise,6.1
2020-04-22,Bwaise,14.3
2020-04-23,Bwaise,20.4
2020-04-24,Bwaise,2.1
2020-04-25,Bwaise,0.8
2020-04-26,Bwaise,3.4
2020-04-27,Bwaise,3.4
2020-04-28,Bwaise,10.0
2020-04-29,Bwaise,9.6
2020-04-30,Bwaise,5.0
2020-05-01,Bwaise,6.9
2020-05-02,Bwaise,27.3
2020-05-03,Bwaise,4.6
2020-05-04,Bwaise,1.0
2020-05-05,Bwaise,1.2
2020-05-06,Bwaise,5.7
2020-05-07,Bwaise,13.5
2020-05-08,Bwaise,11.0
2020-05-09,Bwaise,13.7
2020-05-10,Bwaise,34.8
2020-05-11,Bwaise,6.9
2020-05-12,Bwaise,6.0
2020-05-13,Bwaise,1.2
2020-05-14,Bwaise,2.8
2020-05-15,Bwaise,0.6
2020-05-16,Bwaise,3.8
2020-05-17,Bwaise,2.9
2020-05-18,Bwaise,3.8
2020-05-19,Bwaise,1.8
2020-05-20,Bwaise,2.6
2020-05-21,Bwaise,1.0
2020-05-22,Bwaise,1.0
2020-05-23,Bwaise,0.0
2020-05-24,Bwaise,0.2
2020-05-25,Bwaise,1.3
2020-05-26,Bwaise,0.9
2020-05-27,Bwaise,0.5
2020-05-28,Bwaise,0.4
2020-05-29,Bwaise,6.8
2020-05-30,Bwaise,2.1
2020-05-31,Bwaise,1.1
2020-06-01,Bwaise,0.5
2020-06-02,Bwaise,1.9
2020-06-03,Bwaise,9.8
2020-06-04,Bwaise,10.6
2020-06-05,Bwaise,0.6
2020-06-06,Bwaise,2.2
2020-06-07,Bwaise,1.1
2020-06-08,Bwaise,1.6
2020-06-09,Bwaise,1.9
2020-06-10,Bwaise,16.6
2020-06-11,Bwaise,10.5
2020-06-12,Bwaise,6.3
2020-06-13,Bwaise,8.1
2020-06-14,Bwaise,6.8
2020-06-15,Bwaise,1.7
2020-06-16,Bwaise,0.2
2020-06-17,Bwaise,0.3
2020-06-18,Bwaise,0.6
2020-06-19,Bwaise,2.8
2020-06-20,Bwaise,4.8
2020-06-21,Bwaise,0.8
2020-06-22,Bwaise,0.8
2020-06-23,Bwaise,0.7
2020-06-24,Bwaise,4.7
2020-06-25,Bwaise,6.0
2020-06-26,Bwaise,0.1
2020-06-27,Bwaise,0.6
2020-06-28,Bwaise,0.7
2020-06-29,Bwaise,3.3
2020-06-30,Bwaise,0.1
2020-07-01,Bwaise,0.4
2020-01-01,Nakasero,1.3
2020-01-02,Nakasero,0.1
2020-01-03,Nakasero,0.3
2020-01-04,Nakasero,0.3
2020-01-05,Nakasero,0.2
2020-01-06,Nakasero,2.1
2020-01-07,Nakasero,0.5
2020-01-08,Nakasero,9.0
2020-01-09,Nakasero,0.7
2020-01-10,Nakasero,1.1
2020-01-11,Nakasero,0.6
2020-01-12,Nakasero,3.5
2020-01-13,Nakasero,8.2
2020-01-14,Nakasero,0.0
2020-01-15,Nakasero,0.1
2020-01-16,Nakasero,2.7
2020-01-17,Nakasero,6.0
2020-01-18,Nakasero,2.0
2020-01-19,Nakasero,0.0
2020-01-20,Nakasero,0.0
2020-01-21,Nakasero,0.0
2020-01-22,Nakasero,0.0
2020-01-23,Nakasero,0.0
2020-01-24,Nakasero,0.0
2020-01-25,Nakasero,0.0
2020-01-26,Nakasero,6.8
2020-01-27,Nakasero,6.8
2020-01-28,Nakasero,15.9
2020-01-29,Nakasero,6.0
2020-01-30,Nakasero,14.9
2020-01-31,Nakasero,14.1
2020-02-01,Nakasero,1.1
2020-02-02,Nakasero,0.0
2020-02-03,Nakasero,1.7
2020-02-04,Nakasero,18.1
2020-02-05,Nakasero,6.9
2020-02-06,Nakasero,5.4
2020-02-07,Nakasero,0.2
2020-02-08,Nakasero,0.1
2020-02-09,Nakasero,0.0
2020-02-10,Nakasero,0.0
2020-02-11,Nakasero,0.0
2020-02-12,Nakasero,0.0
2020-02-13,Nakasero,0.0
2020-02-14,Nakasero,0.6
2020-02-15,Nakasero,9.0
2020-02-16,Nakasero,3.2
2020-02-17,Nakasero,0.0
2020-02-18,Nakasero,2.6
2020-02-19,Nakasero,0.6
2020-02-20,Nakasero,7.1
2020-02-21,Nakasero,0.5
2020-02-22,Nakasero,3.1
2020-02-23,Nakasero,0.6
2020-02-24,Nakasero,0.8
2020-02-25,Nakasero,4.6
2020-02-26,Nakasero,2.9
2020-02-27,Nakasero,4.6
2020-02-28,Nakasero,9.9
2020-02-29,Nakasero,5.8
2020-03-01,Nakasero,0.6
2020-03-02,Nakasero,3.0
2020-03-03,Nakasero,8.5
2020-03-04,Nakasero,16.5
2020-03-05,Nakasero,1.7
2020-03-06,Nakasero,1.9
2020-03-07,Nakasero,2.1
2020-03-08,Nakasero,2.5
2020-03-09,Nakasero,13.3
2020-03-10,Nakasero,7.5
2020-03-11,Nakasero,11.3
2020-03-12,Nakasero,3.9
2020-03-13,Nakasero,12.3
2020-03-14,Nakasero,1.8
2020-03-15,Nakasero,2.5
2020-03-16,Nakasero,12.8
2020-03-17,Nakasero,3.1
2020-03-18,Nakasero,9.9
2020-03-19,Nakasero,4.8
2020-03-20,Nakasero,1.2
2020-03-21,Nakasero,9.0
2020-03-22,Nakasero,14.9
2020-03-23,Nakasero,6.2
2020-03-24,Nakasero,4.0
2020-03-25,Nakasero,3.9
2020-03-26,Nakasero,3.6
2020-03-27,Nakasero,15.8
2020-03-28,Nakasero,18.6
2020-03-29,Nakasero,4.5
2020-03-30,Nakasero,0.4
2020-03-31,Nakasero,0.9
2020-04-01,Nakasero,0.8
2020-04-02,Nakasero,1.4
2020-04-03,Nakasero,1.4
2020-04-04,Nakasero,4.3
2020-04-05,Nakasero,2.9
2020-04-06,Nakasero,1.8
2020-04-07,Nakasero,1.1
2020-04-08,Nakasero,0.3
2020-04-09,Nakasero,1.2
2020-04-10,Nakasero,8.0
2020-04-11,Nakasero,1.9
2020-04-12,Nakasero,17.0
2020-04-13,Nakasero,16.2
2020-04-14,Nakasero,22.0
2020-04-15,Nakasero,2.7
2020-04-16,Nakasero,1.7
2020-04-17,Nakasero,13.1
2020-04-18,Nakasero,8.1
2020-04-19,Nakasero,10.2
2020-04-20,Nakasero,14.3
2020-04-21,Nakasero,6.1
2020-04-22,Nakasero,14.3
2020-04-23,Nakasero,20.4
2020-04-24,Nakasero,2.1
2020-04-25,Nakasero,0.8
2020-04-26,Nakasero,3.4
2020-04-27,Nakasero,3.4
2020-04-28,Nakasero,10.0
2020-04-29,Nakasero,9.6
2020-04-30,Nakasero,5.0
2020-05-01,Nakasero,6.9
2020-05-02,Nakasero,27.3
2020-05-03,Nakasero,4.6
2020-05-04,Nakasero,1.0
2020-05-05,Nakasero,1.2
2020-05-06,Nakasero,5.7
2020-05-07,Nakasero,13.5
2020-05-08,Nakasero,11.0
2020-05-09,Nakasero,13.7
2020-05-10,Nakasero,34.8
2020-05-11,Nakasero,6.9
2020-05-12,Nakasero,6.0
2020-05-13,Nakasero,1.2
2020-05-14,Nakasero,2.8
2020-05-15,Nakasero,0.6
2020-05-16,Nakasero,3.8
2020-05-17,Nakasero,2.9
2020-05-18,Nakasero,3.8
2020-05-19,Nakasero,1.8
2020-05-20,Nakasero,2.6
2020-05-21,Nakasero,1.0
2020-05-22,Nakasero,1.0
2020-05-23,Nakasero,0.0
2020-05-24,Nakasero,0.2
2020-05-25,Nakasero,1.3
2020-05-26,Nakasero,0.9
2020-05-27,Nakasero,0.5
2020-05-28,Nakasero,0.4
2020-05-29,Nakasero,6.8
2020-05-30,Nakasero,2.1
2020-05-31,Nakasero,1.1
2020-06-01,Nakasero,0.5
2020-06-02,Nakasero,1.9
2020-06-03,Nakasero,9.8
2020-06-04,Nakasero,10.6
2020-06-05,Nakasero,0.6
2020-06-06,Nakasero,2.2
2020-06-07,Nakasero,1.1
2020-06-08,Nakasero,1.6
2020-06-09,Nakasero,1.9
2020-06-10,Nakasero,16.6
2020-06-11,Nakasero,10.5
2020-06-12,Nakasero,6.3
2020-06-13,Nakasero,8.1
2020-06-14,Nakasero,6.8
2020-06-15,Nakasero,1.7
2020-06-16,Nakasero,0.2
2020-06-17,Nakasero,0.3
2020-06-18,Nakasero,0.6
2020-06-19,Nakasero,2.8
2020-06-20,Nakasero,4.8
2020-06-21,Nakasero,0.8
2020-06-22,Nakasero,0.8
2020-06-23,Nakasero,0.7
2020-06-24,Nakasero,4.7
2020-06-25,Nakasero,6.0
2020-06-26,Nakasero,0.1
2020-06-27,Nakasero,0.6
2020-06-28,Nakasero,0.7
2020-06-29,Nakasero,3.3
2020-06-30,Nakasero,0.1
2020-07-01,Nakasero,0.4
2020-01-01,Kansanga,1.6
2020-01-02,Kansanga,0.3
2020-01-03,Kansanga,0.0
2020-01-04,Kansanga,0.0
2020-01-05,Kansanga,0.0
2020-01-06,Kansanga,3.0
2020-01-07,Kansanga,0.3
2020-01-08,Kansanga,6.0
2020-01-09,Kansanga,0.6
2020-01-10,Kansanga,2.6
2020-01-11,Kansanga,0.3
2020-01-12,Kansanga,3.0
2020-01-13,Kansanga,3.0
2020-01-14,Kansanga,0.0
2020-01-15,Kansanga,0.1
2020-01-16,Kansanga,1.0
2020-01-17,Kansanga,4.2
2020-01-18,Kansanga,2.7
2020-01-19,Kansanga,0.0
2020-01-20,Kansanga,0.0
2020-01-21,Kansanga,0.0
2020-01-22,Kansanga,0.0
2020-01-23,Kansanga,0.0
2020-01-24,Kansanga,0.0
2020-01-25,Kansanga,0.0
2020-01-26,Kansanga,2.4
2020-01-27,Kansanga,6.6
2020-01-28,Kansanga,10.1
2020-01-29,Kansanga,8.0
2020-01-30,Kansanga,7.5
2020-01-31,Kansanga,16.8
2020-02-01,Kansanga,1.0
2020-02-02,Kansanga,0.0
2020-02-03,Kansanga,0.7
2020-02-04,Kansanga,6.6
2020-02-05,Kansanga,2.4
2020-02-06,Kansanga,6.6
2020-02-07,Kansanga,0.2
2020-02-08,Kansanga,0.0
2020-02-09,Kansanga,0.0
2020-02-10,Kansanga,0.0
2020-02-11,Kansanga,0.0
2020-02-12,Kansanga,0.0
2020-02-13,Kansanga,0.0
2020-02-14,Kansanga,1.0
2020-02-15,Kansanga,19.2
2020-02-16,Kansanga,2.5
2020-02-17,Kansanga,0.1
2020-02-18,Kansanga,6.0
2020-02-19,Kansanga,1.0
2020-02-20,Kansanga,6.0
2020-02-21,Kansanga,2.0
2020-02-22,Kansanga,1.4
2020-02-23,Kansanga,0.5
2020-02-24,Kansanga,0.1
2020-02-25,Kansanga,1.9
2020-02-26,Kansanga,3.1
2020-02-27,Kansanga,9.0
2020-02-28,Kansanga,10.6
2020-02-29,Kansanga,2.3
2020-03-01,Kansanga,1.5
2020-03-02,Kansanga,4.1
2020-03-03,Kansanga,6.0
2020-03-04,Kansanga,9.5
2020-03-05,Kansanga,2.2
2020-03-06,Kansanga,0.9
2020-03-07,Kansanga,1.2
2020-03-08,Kansanga,4.4
2020-03-09,Kansanga,13.6
2020-03-10,Kansanga,1.0
2020-03-11,Kansanga,2.6
2020-03-12,Kansanga,4.5
2020-03-13,Kansanga,16.4
2020-03-14,Kansanga,1.8
2020-03-15,Kansanga,1.7
2020-03-16,Kansanga,12.8
2020-03-17,Kansanga,3.4
2020-03-18,Kansanga,10.2
2020-03-19,Kansanga,3.8
2020-03-20,Kansanga,1.0
2020-03-21,Kansanga,4.0
2020-03-22,Kansanga,21.8
2020-03-23,Kansanga,3.7
2020-03-24,Kansanga,3.8
2020-03-25,Kansanga,9.6
2020-03-26,Kansanga,3.3
2020-03-27,Kansanga,11.0
2020-03-28,Kansanga,15.1
2020-03-29,Kansanga,6.0
2020-03-30,Kansanga,0.3
2020-03-31,Kansanga,1.9
2020-04-01,Kansanga,1.6
2020-04-02,Kansanga,0.7
2020-04-03,Kansanga,1.8
2020-04-04,Kansanga,3.7
2020-04-05,Kansanga,1.5
2020-04-06,Kansanga,1.3
2020-04-07,Kansanga,0.8
2020-04-08,Kansanga,0.6
2020-04-09,Kansanga,0.9
2020-04-10,Kansanga,4.6
2020-04-11,Kansanga,2.2
2020-04-12,Kansanga,8.4
2020-04-13,Kansanga,12.4
2020-04-14,Kansanga,16.0
2020-04-15,Kansanga,3.5
2020-04-16,Kansanga,0.7
2020-04-17,Kansanga,8.4
2020-04-18,Kansanga,9.4
2020-04-19,Kansanga,5.5
2020-04-20,Kansanga,13.2
2020-04-21,Kansanga,3.8
2020-04-22,Kansanga,5.1
2020-04-23,Kansanga,18.7
2020-04-24,Kansanga,3.8
2020-04-25,Kansanga,0.5
2020-04-26,Kansanga,2.5
2020-04-27,Kansanga,3.9
2020-04-28,Kansanga,12.3
2020-04-29,Kansanga,9.0
2020-04-30,Kansanga,9.4
2020-05-01,Kansanga,4.9
2020-05-02,Kansanga,14.0
2020-05-03,Kansanga,4.0
2020-05-04,Kansanga,2.8
2020-05-05,Kansanga,3.5
2020-05-06,Kansanga,5.2
2020-05-07,Kansanga,8.1
2020-05-08,Kansanga,9.4
2020-05-09,Kansanga,5.1
2020-05-10,Kansanga,30.4
2020-05-11,Kansanga,3.9
2020-05-12,Kansanga,4.4
2020-05-13,Kansanga,1.0
2020-05-14,Kansanga,1.1
2020-05-15,Kansanga,1.3
2020-05-16,Kansanga,6.4
2020-05-17,Kansanga,4.1
2020-05-18,Kansanga,1.3
2020-05-19,Kansanga,1.7
2020-05-20,Kansanga,2.9
2020-05-21,Kansanga,1.2
2020-05-22,Kansanga,2.3
2020-05-23,Kansanga,0.0
2020-05-24,Kansanga,0.3
2020-05-25,Kansanga,1.3
2020-05-26,Kansanga,1.5
2020-05-27,Kansanga,0.5
2020-05-28,Kansanga,0.3
2020-05-29,Kansanga,3.5
2020-05-30,Kansanga,3.5
2020-05-31,Kansanga,0.6
2020-06-01,Kansanga,0.1
2020-06-02,Kansanga,0.8
2020-06-03,Kansanga,2.7
2020-06-04,Kansanga,9.3
2020-06-05,Kansanga,0.7
2020-06-06,Kansanga,0.9
2020-06-07,Kansanga,3.3
2020-06-08,Kansanga,1.0
2020-06-09,Kansanga,3.7
2020-06-10,Kansanga,9.0
2020-06-11,Kansanga,5.5
2020-06-12,Kansanga,1.1
2020-06-13,Kansanga,6.2
2020-06-14,Kansanga,5.4
2020-06-15,Kansanga,0.7
2020-06-16,Kansanga,0.8
2020-06-17,Kansanga,0.1
2020-06-18,Kansanga,0.7
2020-06-19,Kansanga,2.5
2020-06-20,Kansanga,8.7
2020-06-21,Kansanga,1.5
2020-06-22,Kansanga,0.9
2020-06-23,Kansanga,0.5
2020-06-24,Kansanga,5.2
2020-06-25,Kansanga,1.5
2020-06-26,Kansanga,0.2
2020-06-27,Kansanga,3.5
2020-06-28,Kansanga,1.7
2020-06-29,Kansanga,1.9
2020-06-30,Kansanga,0.1
2020-07-01,Kansanga,1.0
